date,station,metric,index,lag_hours
2024-05-10,DOMB,shannon_entropy,2024-05-10 03:43:00,-14.1
2024-05-10,DOMB,spectral_entropy,2024-05-10 18:30:00,0.6833333333333333
2024-05-10,DOMB,app_entropy,2024-05-10 02:21:00,-15.466666666666667
2024-05-10,DOMB,hurst,2024-05-10 04:38:00,-13.183333333333334
2024-05-10,DOMB,dfa,2024-05-10 03:53:00,-13.933333333333334
2024-05-10,DOMB,mfhurst_b,2024-05-10 01:06:00,-16.716666666666665
2024-05-10,DOMB,higuchi_fd,2024-05-10 01:37:00,-16.2
2024-05-10,DOMB,katz_fd,2024-05-10 01:28:00,-16.35
2024-05-10,DOMB,petrosian_fd,2024-05-10 03:20:00,-14.483333333333333
2024-05-10,DOMB,lepel_ziv,2024-05-10 20:43:00,2.9
2024-05-10,DOMB,corr_dim,2024-05-10 01:35:00,-16.233333333333334
2024-05-10,DOMB,value,2024-05-10 02:07:00,-15.7
2024-05-10,KERG,entropy,2024-05-10 22:20:00,5.416666666666667
2024-05-10,KERG,sampen,2024-05-10 01:06:00,-15.816666666666666
2024-05-10,KERG,permutation_entropy,2024-05-10 03:40:00,-13.25
2024-05-10,KERG,shannon_entropy,2024-05-10 01:10:00,-15.75
2024-05-10,KERG,spectral_entropy,2024-05-10 08:51:00,-8.066666666666666
2024-05-10,KERG,app_entropy,2024-05-10 05:13:00,-11.7
2024-05-10,KERG,hurst,2024-05-10 01:35:00,-15.333333333333334
2024-05-10,KERG,dfa,2024-05-10 03:03:00,-13.866666666666667
2024-05-10,KERG,mfhurst_b,2024-05-10 01:09:00,-15.766666666666667
2024-05-10,KERG,higuchi_fd,2024-05-10 05:28:00,-11.45
2024-05-10,KERG,katz_fd,2024-05-10 03:47:00,-13.133333333333333
2024-05-10,KERG,petrosian_fd,2024-05-10 03:37:00,-13.3
2024-05-10,KERG,lepel_ziv,2024-05-10 01:23:00,-15.533333333333333
2024-05-10,KERG,corr_dim,2024-05-10 04:56:00,-11.983333333333333
2024-05-10,KERG,value,2024-05-10 02:59:00,-13.933333333333334
2024-05-10,SOPB,entropy,2024-05-10 21:01:00,3.65
2024-05-10,SOPB,sampen,2024-05-10 01:16:00,-16.1
